numeroCandidato|siglaCandidato|nomeCandidato
1|Aricò A.|Aricò Alessandro detto Arrigo
2|Bottino M.|Bottino Michela Maria Rosaria detta Pottino
3|Calì G.|Calì Giorgio
4|Castrogiovanni A.|Castrogiovanni Alessandro detto Castro
5|D'Aì P.|D'Aì Pietro detto Piero, detto Dai
6|Di Filippo M.|Di Filippo Maria Concetta
7|Di Giorgio T.|Di Giorgio Tommaso Francesco
8|Gangi M.|Gangi Michele detto Ganci
9|Gattuso C.|Gattuso Carmelo detto Guttuso, Gottuso
10|Licciardi S.|Licciardi Salvatore detto Totò
11|Maggi V.|Maggi Vittoria
12|Mammana G.|Mammana Giovan Battista detto Giovanni
13|Milano G.|Milano Gaetano detto Milani, Milana, Milazzo
14|Porretta D.|Porretta Domenico detto Mimmo
15|Sanfratello C.|Sanfratello Concetta Tatiana detta Tatiana
16|Serio C.|Serio Claudia
