idLista,nomeLista
1,"LISTA N. 1 NELLO MUSUMECI - #DIVENTERA' BELLISSIMA - PER LA SICILIA"
2,"LISTA N. 2 MOVIMENTO 5 STELLE"
3,"LISTA N. 3 ALLEANZA PER LA SICILIA - NELLO MUSUMECI PRESIDENTE - FRATELLI D'ITALIA ALLEANZA NAZIONALE - NOI CON SALVINI"
4,"LISTA N. 4 CENTO PASSI PER LA SICILIA - CLAUDIO FAVA PRESIDENTE"
5,"LISTA N. 5 PDR - SICILIA FUTURA - PSI - MICARI PRESIDENTE"
6,"LISTA N. 6 SICILIANI LIBERI"
7,"LISTA N. 7 MUSUMECI PRESIDENTE - SICILIA VERA - LIBERTAS - RETE DEMOCRATICA - UNIONE DI CENTRO"
8,"LISTA N. 8 ARCIPELAGO SICILIA - MOVIMENTO DEI TERRITORI - MICARI PRESIDENTE"
9,"LISTA N. 9 ALTERNATIVA POPOLARE - CENTRISTI X MICARI"
10,"LISTA N. 10 IDEA SICILIA - POPOLARI E AUTONOMISTI - MUSUMECI PRESIDENTE"
11,"LISTA N. 11 MUSUMECI - FORZA ITALIA - BERLUSCONI"
12,"LISTA N. 12 PD - PARTITO DEMOCRATICO - MICARI PRESIDENTE"
